Date,Open,High,Low,Close,Volume,Adj Close
2016-09-23,235.13499,235.13499,235.13499,235.13499,000,235.13499
2016-09-22,241.938,241.938,241.938,241.938,000,241.938
2016-09-21,244.395,244.395,244.395,244.395,000,244.395
2016-09-20,226.84801,226.84801,226.84801,226.84801,000,226.84801
2016-09-19,227.285,227.285,227.285,227.285,000,227.285
2016-09-16,225.66499,225.66499,225.66499,225.66499,000,225.66499
2016-09-15,230.246,230.246,230.246,230.246,000,230.246
2016-09-14,229.532,229.532,229.532,229.532,000,229.532
2016-09-13,228.94299,228.94299,228.94299,228.94299,000,228.94299
2016-09-12,239.21201,239.21201,239.21201,239.21201,000,239.21201
2016-09-09,230.063,230.063,230.063,230.063,000,230.063
2016-09-08,242.784,242.784,242.784,242.784,000,242.784
2016-09-07,248.19501,248.19501,248.19501,248.19501,000,248.19501
2016-09-06,250.584,250.584,250.584,250.584,000,250.584
2016-09-05,239.48,239.48,239.48,239.48,000,239.48
2016-09-02,239.48,239.48,239.48,239.48,000,239.48
2016-09-01,231.26199,231.26199,231.26199,231.26199,000,231.26199
2016-08-31,221.67599,221.67599,221.67599,221.67599,000,221.67599
2016-08-30,226.57401,226.57401,226.57401,226.57401,000,226.57401
2016-08-29,239.96001,239.96001,239.96001,239.96001,000,239.96001
2016-08-26,237.744,237.744,237.744,237.744,000,237.744
2016-08-25,239.657,239.657,239.657,239.657,000,239.657
2016-08-24,237.23,237.23,237.23,237.23,000,237.23
2016-08-23,257.327,257.327,257.327,257.327,000,257.327
2016-08-22,262.53,262.53,262.53,262.53,000,262.53
2016-08-19,268.53201,268.53201,268.53201,268.53201,000,268.53201
2016-08-18,274.642,274.642,274.642,274.642,000,274.642
2016-08-17,271.513,271.513,271.513,271.513,000,271.513
2016-08-16,275.07501,275.07501,275.07501,275.07501,000,275.07501
2016-08-15,277.091,277.091,277.091,277.091,000,277.091
2016-08-12,278.60999,278.60999,278.60999,278.60999,000,278.60999
2016-08-11,279.33099,279.33099,279.33099,279.33099,000,279.33099
2016-08-10,281.62799,281.62799,281.62799,281.62799,000,281.62799
2016-08-09,277.04401,277.04401,277.04401,277.04401,000,277.04401
2016-08-08,275.888,275.888,275.888,275.888,000,275.888
2016-08-05,274.47601,274.47601,274.47601,274.47601,000,274.47601
2016-08-04,284.138,284.138,284.138,284.138,000,284.138
2016-08-03,280.11499,280.11499,280.11499,280.11499,000,280.11499
2016-08-02,283.651,283.651,283.651,283.651,000,283.651
2016-08-01,278.56601,278.56601,278.56601,278.56601,000,278.56601
2016-07-29,274.31601,274.31601,274.31601,274.31601,000,274.31601
2016-07-28,268.634,268.634,268.634,268.634,000,268.634
2016-07-27,269.45499,269.45499,269.45499,269.45499,000,269.45499
2016-07-26,257.39999,257.39999,257.39999,257.39999,000,257.39999
2016-07-25,248.952,248.952,248.952,248.952,000,248.952
2016-07-22,259.07101,259.07101,259.07101,259.07101,000,259.07101
2016-07-21,259.634,259.634,259.634,259.634,000,259.634
2016-07-20,250.604,250.604,250.604,250.604,000,250.604
2016-07-19,267.366,267.366,267.366,267.366,000,267.366
2016-07-18,269.64099,269.64099,269.64099,269.64099,000,269.64099
2016-07-15,267.745,267.745,267.745,267.745,000,267.745
2016-07-14,269.38901,269.38901,269.38901,269.38901,000,269.38901
2016-07-13,270.28799,270.28799,270.28799,270.28799,000,270.28799
2016-07-12,262.48901,262.48901,262.48901,262.48901,000,262.48901
2016-07-11,272.25299,272.25299,272.25299,272.25299,000,272.25299
2016-07-08,271.53,271.53,271.53,271.53,000,271.53
2016-07-07,264.14001,264.14001,264.14001,264.14001,000,264.14001
2016-07-06,271.75101,271.75101,271.75101,271.75101,000,271.75101
2016-07-05,263.65601,263.65601,263.65601,263.65601,000,263.65601
2016-07-04,258.97501,258.97501,258.97501,258.97501,000,258.97501
2016-07-01,258.97501,258.97501,258.97501,258.97501,000,258.97501
2016-06-30,246.601,246.601,246.601,246.601,000,246.601
2016-06-29,242.72301,242.72301,242.72301,242.72301,000,242.72301
2016-06-28,236.435,236.435,236.435,236.435,000,236.435
2016-06-27,240.56799,240.56799,240.56799,240.56799,000,240.56799
2016-06-24,237.875,237.875,237.875,237.875,000,237.875
2016-06-23,224.498,224.498,224.498,224.498,000,224.498
2016-06-22,227.494,227.494,227.494,227.494,000,227.494
2016-06-21,220.54601,220.54601,220.54601,220.54601,000,220.54601
2016-06-20,226.537,226.537,226.537,226.537,000,226.537
2016-06-17,227.108,227.108,227.108,227.108,000,227.108
2016-06-16,226.593,226.593,226.593,226.593,000,226.593
2016-06-15,233.983,233.983,233.983,233.983,000,233.983
2016-06-14,224.808,224.808,224.808,224.808,000,224.808
2016-06-13,229.563,229.563,229.563,229.563,000,229.563
2016-06-10,230.90601,230.90601,230.90601,230.90601,000,230.90601
2016-06-09,235.151,235.151,235.151,235.151,000,235.151
2016-06-08,231.384,231.384,231.384,231.384,000,231.384
2016-06-07,223.99899,223.99899,223.99899,223.99899,000,223.99899
2016-06-06,227.125,227.125,227.125,227.125,000,227.125
2016-06-03,226.60699,226.60699,226.60699,226.60699,000,226.60699
2016-06-02,203.114,203.114,203.114,203.114,000,203.114
2016-06-01,202.53101,202.53101,202.53101,202.53101,000,202.53101
2016-05-31,201.32201,201.32201,201.32201,201.32201,000,201.32201
2016-05-30,198.873,198.873,198.873,198.873,000,198.873
2016-05-27,198.873,198.873,198.873,198.873,000,198.873
2016-05-26,205.11099,205.11099,205.11099,205.11099,000,205.11099
2016-05-25,204.69099,204.69099,204.69099,204.69099,000,204.69099
2016-05-24,201.11,201.11,201.11,201.11,000,201.11
2016-05-23,214.162,214.162,214.162,214.162,000,214.162
2016-05-20,216.48801,216.48801,216.48801,216.48801,000,216.48801
2016-05-19,216.45399,216.45399,216.45399,216.45399,000,216.45399
2016-05-18,212.261,212.261,212.261,212.261,000,212.261
2016-05-17,230.19299,230.19299,230.19299,230.19299,000,230.19299
2016-05-16,227.493,227.493,227.493,227.493,000,227.493
2016-05-13,221.48399,221.48399,221.48399,221.48399,000,221.48399
2016-05-12,218.457,218.457,218.457,218.457,000,218.457
2016-05-11,224.498,224.498,224.498,224.498,000,224.498
